id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,is_eupher,is_toxic
41e65f43c180838e,"YOU ARE A FAT, GEEKY PRICK WHO HAS NOTHING TO DO ON A WEEKEND BUT MONITOR WIKIPEDIA. I HOPE YOU SUFFOCATE UNDER YOUR OWN SADNESS.",1,1,1,0,1,0,0,1
cade9e425d75948e,"Agent X2: Basically thanks - with a 'little' more 

(Little has to be a bit more in this case. It just lies in the nature of the matter.)

First: English is not my native language, so I won't correct the article myself. I rely on others to do that for me, based on my suggestions. Again, I am a german dissident and as a man with a technical background, I do not only have years-long experience with most probably driving around a hidden GPS/GSM bug and the consequences of this arrangement. I also have the ability to become aware of it, although I have to rely on many 'strange observations' which after months of further observation and consideration start to make sense, if you explain them the way I have.

I had prepared a comprehensive letter yesterday summarizing the present situation of the article - i e before your recent changes. For ease of work, let me copy and paste it here, erasing only the sentences that have no more meaning at all. The rest therefore is still true, more or less:

First, I'm not quite sure what implications the 'Articles lacking sources'
classification has. There sure is a lot more to say and show about this
subject, but I think it is already now safe to say that we've got a case. So
what about removing it from this kind of probably discriminatory category? I
suspect that presently it looks like a kind of 'crackpot' article and
therefore doesn't really invite others to join. Would there be a more
suitable 'wanted' category?

Second, we do agree that these appliances exist, and that they also can be
abused. Experience tells you, if something can be abused, it also will.
Experience also tells you, that government agencies are no exception when it
comes to this kind of things. What we need are more details about their (i e
the presumed LEC = military version) size, sensitivity (with respect to the
concealed places they can be attached to) and battery life-span (assuming
they're not installed, just stuck with a magnet or some dough-type
fastener). In the discussion, I gave the URL of a leading german maker of
these objects and tried to draw your attention to the fact that their folder
directed to the LEC is password-protected *), while the material for the
general market is on open display. Would that ring a bell with you?

Third, I would like to see several changes in the article. I'll enumerate
and motivate them in a separate message - see below.

Fourth, I'd like to join everybody into the discussion who is interested in
this subject and can contribute something reasonable (or maybe knows someone
who can). My idea is, this is not just an electronic gadget issue, this is a
civil rights concern. Do you see any other faculties involved, besides
electronics and human rights? How do we spread the word among them? Again,
we need to remove all the discriminatory  classifications from the article
for others to join.

) For your convenience, let me quote that sentence: 'Have you especially
seen my remark regarding the password-protected folder at
http://www.fugon.de/ , expressively directed towards the german LEC ('BOS')?
Wouldn't you agree that this most probably is where all the REALLY
INTERESTING stuff could be found?!? Enigma...'

Third: Desired changes to the article

Foreword: ok

Types of GPS trackers:

I've been informed that they don't necessarily limit temselves to SMS, when
transmitting. Another option would probably be to use GPRS - one of the
wider used packet-switched data transmission modes in cellphone systems.

It is also here that we ought to mention that they are used for tracking
down criminals. I've sent you proof of that. See the discussion page where I
quoted the two media article discussing the german constitutional court's
verdict on GPS/GSM bugs dating back to 4/05.

It ought to be mentioned in that same chapter that there is reason to
believe that there also exist more 'professional' versions for the use
through the military, LEC etc, which are probably smaller, more sensitive
(can be placed 'anywhere' and still work, without external antennas) and
have a long battery life-span.

Potential abuse of GPS trackers:

What is said in the box is basically correct. Could it be re-formulated in a
way to provoke people's interest, rather than stir a feeling for lack of
trustworthiness? Something along the line that 'these are military-style
secrets thus hard to ascertain; anyone from inside this business having
doubts about their ultimate legitimacy should feel invited to",0,0,0,0,0,0,0,0
8ff87747403ed2e6,"Why are my posts being deleted? 

I have tried to make a discussion here and the user Deepak keeps erasing them. Can someone help me? I am not allowed to complain to much becuase he might block me. So I have to be careful. Can someone help me?",0,0,0,0,0,0,0,0
a95604c7a938abb3,"Controlled Demolitions and Common Sense - recommended reading 

It is highly advised that anyone editing 9/11 pages do a thorough reading of the """"Controlled Demolitions and Common Sense"""" section on this page.  ",0,0,0,0,0,0,0,0
2288910537399728,I do not understand your reply.  //Blaxthos ( t / c ),0,0,0,0,0,0,0,0
9309014f225e9975,"Is this the bizarro world? Removing content is perfectly fine. Read the rules, peon.",0,0,0,0,0,0,0,0
59a295885d985ef1,"Well, WP:RS says that articles should use reliable sources that are independent of the subject (i.e. you can't cite the website of the consortium). Besides this, an article of this length should have more than the three sources that are left. Feel free to re-submit it when more sources are added - thanks!  (talk!)",0,0,0,0,0,0,0,0
031c15507901e54a,"Oh hear me go someone removes all my pages i get angry and put down even more for beuing upset Use your common sense you little hitler he rem,oved every one of my links and i am supposed to be kind to him why? What about his uuncivial nature. Why dio none of you have any understanding. He goes on my pages onsults my work, supports a deletetion of all my pages orbpablry did them, and i am supposed to be kind to him. I did not swear at him,. ai am argoibng back. You are not the police. I have right to be angry back. i have not sworn, alittle hitler is not a swear word it refers to petty law enforcers such as park attendetns or traffic wardens who go after people with a vindictive smugness with no sympathy",0,0,0,0,0,0,0,0
820b548b9acc1ee6,"can't believe this article was deleted
I'm surprised you didn't vote keep for this article. but then again, it was deleted for this reason. The article is now protected for being created as there is no verifiable evidence of it happening in future.",0,0,0,0,0,0,0,0
723d53b4406dc45a,"Comments on GamerGate Workshop page 

Your comments in the """"Users involved in off-site disruption banned"""" section are disruptive and do not assist the arbitrators arriving at a decision. If you continue to make comments such as these your participation in the case may be restricted.  (talk • contribs • logs) ",0,0,0,0,0,0,0,0
